Seed: 1, Time: 17.78351
Class-wise RMSE value:
Class 1,0.10373
Class 2,0.02505
Class 3,0.02428
Class 4,0.03198
Class 5,0.08175
Mean RMSE,0.06274
Class-wise SAD value:
Class 1,0.02208
Class 2,0.01633
Class 3,0.01741
Class 4,0.01655
Class 5,0.02099
Mean SAD,0.01867

Seed: 57207880, Time: 15.16172
Class-wise RMSE value:
Class 1,0.04367
Class 2,0.03233
Class 3,0.01677
Class 4,0.00988
Class 5,0.01888
Mean RMSE,0.02431
Class-wise SAD value:
Class 1,0.00416
Class 2,0.00799
Class 3,0.00628
Class 4,0.01468
Class 5,0.00644
Mean SAD,0.00791

